net,length_um
net884,59.32
_02381_,58.96
_04567_,58.93
_06191_,58.86
_02619_,58.74
_03015_,58.32
clknet_leaf_119_clk,58.32
_03412_,58.24
clknet_leaf_42_clk,58.14
_01963_,58.1
_02199_,58.08
arr.b21\[1\],57.86
clknet_leaf_121_clk,57.82
net715,57.78
net381,57.7
net793,57.66
net697,57.6
net894,57.36
_01941_,57.34
net863,57.26
arr.a12\[5\],57.18
_08325_,57.09
_05938_,57
_06818_,57
net707,56.98
_04601_,56.96
clknet_leaf_90_clk,56.86
net706,56.68
_02585_,56.62
_05539_,56.59
net1278,56.57
_02210_,56.48
_04354_,56.45
net818,56.38
arr.b21\[0\],56.29
clknet_leaf_124_clk,56.28
_04077_,56.26
_04879_,56.13
net678,55.8
_01917_,55.795
_08726_,55.76
_05755_,55.69
_07543_,55.64
_08145_,55.635
_02363_,55.54
arr.a30\[3\],55.49
_02352_,55.3
_07928_,55
clknet_leaf_95_clk,54.96
_03378_,54.9
_02344_,54.88
net828,54.88
net782,54.8
clknet_leaf_65_clk,54.68
buf_b.write_ptr\[2\],54.6
_04758_,54.58
arr.a30\[4\],54.54
_05566_,54.49
arr.a32\[6\],54.4
arr.b22\[3\],54.4
net776,54.38
clknet_leaf_59_clk,54.275
_01974_,54.2
net783,54
net743,53.96
arr.a22\[2\],53.88
net721,53.56
_06557_,53.54
clknet_leaf_56_clk,53.535
_08127_,53.37
_06909_,53.28
_02209_,53.12
_03247_,52.64
net722,52.62
_07852_,52.52
_04962_,52.155
clknet_leaf_151_clk,52
clknet_leaf_67_clk,51.94
net786,51.9
_01926_,51.62
_04073_,51.6
_07384_,51.6
_02233_,51.58
_06856_,51.54
clknet_leaf_99_clk,51.42
clknet_leaf_116_clk,51.38
_05330_,51.2
_07156_,51.2
_06820_,51.14
_05378_,51.12
clknet_leaf_114_clk,51.12
_02782_,50.94
net695,50.9
_04016_,50.85
net1279,50.8
net725,50.7
_07861_,50.62
net744,50.56
_05602_,50.4
arr.a32\[1\],50.34
_08052_,50.325
_07821_,50.32
arr.b11\[3\],50.18
_08077_,50.14
_06852_,49.88
arr.b03\[1\],49.84
clknet_leaf_8_clk,49.82
clknet_leaf_53_clk,49.72
_07884_,49.7
clknet_leaf_94_clk,49.44
arr.a32\[2\],49.16
net1219,49.14
_08089_,49.12
clknet_leaf_68_clk,49.11
clknet_leaf_57_clk,49.1
_04795_,48.48
_05415_,48.48
net829,48.42
clknet_leaf_142_clk,48.4
_05045_,48.31
arr.a12\[4\],48.2
net723,48.1
_06571_,48.06
_07005_,47.91
_05472_,47.9
_04586_,47.84
_04085_,47.58
arr.a32\[0\],47.56
_07188_,47.37
_00650_,47.3
net683,47.24
arr.b22\[4\],47.2
_03558_,47.14
net787,47.1
_05342_,47.08
_03682_,46.86
clknet_leaf_11_clk,46.8
_08329_,46.68
_02206_,46.585
net886,46.48
net680,46.385
clknet_leaf_37_clk,46.26
clknet_leaf_101_clk,46
net767,45.9
_06665_,45.88
_02850_,45.86
net724,45.74
net913,45.64
net836,45.62
_01780_,45.56
clknet_leaf_32_clk,45.5
net960,45.48
_01952_,45.44
net740,45.42
net1285,45.42
net943,45.38
_03161_,45.2
_05235_,45.18
_02205_,45.165
_06864_,44.74
_02338_,44.72
_01878_,44.7
net568,44.695
arr.a22\[6\],44.62
net857,44.46
_02431_,44.44
_03271_,44.34
_08510_,44.32
net961,44.3
_02188_,44.16
clknet_leaf_137_clk,44.1
_01781_,44.06
clknet_leaf_44_clk,44.06
clknet_leaf_86_clk,43.98
_07888_,43.94
_04554_,43.9
_03690_,43.89
_08128_,43.88
net554,43.86
net541,43.84
clknet_leaf_20_clk,43.82
net713,43.8
_03721_,43.78
buf_b.read_ptr\[2\],43.535
_02379_,43.52
_02568_,43.495
_02869_,43.38
net770,43.38
_02244_,43.3
_04210_,43.3
_08509_,43.26
_05096_,43.16
_03302_,43.1
arr.b21\[3\],42.9
arr.a32\[4\],42.74
_08711_,42.72
net542,42.64
net929,42.52
net1270,42.52
net806,42.465
_08075_,42.26
arr.b20\[5\],42.1
_03912_,42.02
_06195_,42.02
_06558_,41.96
net1269,41.96
arr.a32\[3\],41.8
clknet_leaf_22_clk,41.76
_04175_,41.7
clknet_leaf_62_clk,41.7
net589,41.7
_06176_,41.69
_05142_,41.66
net579,41.66
_06795_,41.64
_05972_,41.6
_06830_,41.6
net230,41.55
net363,41.54
clknet_leaf_109_clk,41.54
_04851_,41.52
net717,41.52
_02240_,41.5
_03305_,41.46
_06624_,41.46
_06593_,41.44
arr.a21\[7\],41.44
_07483_,41.4
_07825_,41.36
buf_a.write_ptr\[2\],41.36
_06732_,41.29
_07978_,41.28
_06224_,41.24
clknet_leaf_150_clk,41.24
net928,41.24
net557,41.22
_07086_,41.2
buf_b.row3\[7\],41.16
net666,41.05
_03118_,41
_04125_,40.98
_03248_,40.92
_05368_,40.92
_02870_,40.86
_03515_,40.86
_00060_,40.82
buf_b.write_ptr\[1\],40.675
clknet_leaf_17_clk,40.64
_06026_,40.62
_06908_,40.62
_04193_,40.58
_02243_,40.53
_03341_,40.52
arr.a12\[3\],40.4
_02247_,40.08
_02335_,39.8
_02492_,39.68
_06519_,39.62
_02719_,39.56
_05099_,39.52
buf_a.read_ptr\[2\],39.48
_08228_,39.375
_02182_,39.34
_04827_,39.3
_06343_,39.28
net1273,39.27
_06050_,39.14
net796,39.14
_02235_,39.1
arr.a22\[4\],39.04
_08258_,38.96
net1284,38.86
_05205_,38.76
_06641_,38.76
_02411_,38.7
clknet_leaf_12_clk,38.64
clknet_leaf_74_clk,38.58
net897,38.52
_02888_,38.5
arr.b13\[1\],38.46
_03954_,38.44
_03653_,38.42
net556,38.31
_02207_,38.26
_03780_,38.26
_06954_,38.16
_08314_,38.12
_05493_,38
_02440_,37.94
_04850_,37.94
net846,37.9
net676,37.84
_06035_,37.79
_01760_,37.7
_03621_,37.7
_04925_,37.64
_06804_,37.62
_05761_,37.58
_07309_,37.58
net756,37.58
_05449_,37.5
_07189_,37.45
_06003_,37.44
_02722_,37.38
_06240_,37.3
_07480_,37.3
clknet_leaf_89_clk,37.2
_03165_,37.08
_03562_,37.06
_05543_,36.96
_07269_,36.92
_05496_,36.66
_02668_,36.56
_03340_,36.5
_05326_,36.5
_04826_,36.48
_02698_,36.44
_05952_,36.375
_05986_,36.34
arr.a12\[2\],36.26
_06686_,36.22
_03301_,36.2
_02251_,36.18
_03285_,36.16
_07917_,36.16
_03224_,36.1
_02484_,36.08
_04194_,36.06
_05942_,36.045
_04436_,36.04
_07254_,36.04
_05589_,36
_06162_,36
_08406_,36
_02769_,35.98
_07351_,35.96
net1098,35.96
_07533_,35.92
_02671_,35.9
_03858_,35.9
clknet_leaf_7_clk,35.88
_06619_,35.86
clknet_leaf_108_clk,35.86
net917,35.72
_02884_,35.7
net705,35.66
_02248_,35.6
_04307_,35.58
_02827_,35.56
_03953_,35.48
_04039_,35.46
_06895_,35.44
_03815_,35.39
_05309_,35.36
_04116_,35.31
_07365_,35.28
_04929_,35.2
_06635_,35.14
_04945_,35.12
_05432_,35.08
_04561_,35.04
_07273_,34.96
_05228_,34.935
_02348_,34.9
_06990_,34.88
_03272_,34.86
_07215_,34.84
_02444_,34.8
_02190_,34.72
_07249_,34.72
_04924_,34.68
_03762_,34.59
_06320_,34.58
_02454_,34.52
_02325_,34.46
net761,34.44
_07413_,34.38
_04157_,34.36
_04590_,34.36
_07945_,34.34
clknet_leaf_103_clk,34.34
_04046_,34.3
_02193_,34.26
_02367_,34.22
_06721_,34.22
_05146_,34.18
_07823_,34.1
_07731_,34.06
_05131_,34.04
_08679_,34.04
_07270_,33.98
net384,33.96
_04623_,33.94
_08279_,33.94
_02321_,33.9
_04967_,33.88
_07932_,33.86
_06689_,33.8
_06728_,33.76
_02373_,33.66
_02975_,33.64
_04885_,33.64
_04933_,33.64
_05277_,33.64
_05222_,33.54
_02433_,33.5
_08470_,33.46
_03651_,33.38
_06904_,33.38
_03547_,33.37
net573,33.35
_02377_,33.34
_04737_,33.26
clknet_leaf_73_clk,33.22
_00025_,33.14
_05249_,33.12
_07308_,33.02
_05183_,33
_03949_,32.96
_02880_,32.84
_03000_,32.74
_02371_,32.72
_04048_,32.66
_06805_,32.56
_02323_,32.54
_05839_,32.52
_06608_,32.52
_06213_,32.5
net711,32.44
_05664_,32.36
_07817_,32.34
count\[0\],32.34
_07804_,32.33
_06005_,32.3
_04025_,32.26
arr.b10\[1\],32.26
_04949_,32.24
_04226_,32.14
arr.b20\[3\],32.14
net990,32.1
_06736_,32.095
_04930_,32.06
_08625_,32.06
_05227_,32.02
net811,32.02
_08407_,32
net719,31.96
_03259_,31.9
_02845_,31.82
_07083_,31.72
_05327_,31.71
_00061_,31.7
_06936_,31.7
_02968_,31.66
_07201_,31.65
_05250_,31.64
_03948_,31.63
net906,31.62
_03249_,31.6
net835,31.6
_02346_,31.56
_03941_,31.54
net688,31.48
_05556_,31.44
_06535_,31.4
_08449_,31.4
_06119_,31.38
_03781_,31.22
_06935_,31.22
_00043_,31.2
_06270_,31.2
_07853_,31.2
_06879_,31.1
_02448_,31.04
_07386_,31
_03869_,30.9
_06520_,30.9
_04237_,30.88
result22[7],30.87
net821,30.8
_06972_,30.695
_08042_,30.68
_06294_,30.66
_05929_,30.64
net858,30.62
net932,30.6
net1016,30.52
_03234_,30.5
_03444_,30.46
_04680_,30.46
_00011_,30.44
net202,30.44
_04886_,30.42
_06009_,30.38
_06246_,30.38
_07753_,30.34
net687,30.34
_03383_,30.3
_07402_,30.3
_05973_,30.27
_02253_,30.2
_04791_,30.1
net769,30.1
_05442_,30.09
result11[27],30.07
_05075_,30
_06120_,30
_04701_,29.9
_08014_,29.88
_08471_,29.88
_05238_,29.875
_05823_,29.86
_02453_,29.82
_05109_,29.72
_02623_,29.66
_08430_,29.64
_03842_,29.62
_07332_,29.62
_03153_,29.46
result23[21],29.45
_04038_,29.44
_02836_,29.38
_04051_,29.38
net888,29.36
_05718_,29.34
_08044_,29.34
buf_b.write_ptr\[0\],29.34
net916,29.32
_05739_,29.3
_07136_,29.29
_07678_,29.24
_03275_,29.2
net693,29.185
_06064_,29.18
net1142,29.04
net834,29.02
net859,29
_03799_,28.82
_06304_,28.82
_02593_,28.78
_07440_,28.78
_07636_,28.78
_02793_,28.76
_04762_,28.76
_04981_,28.76
_04474_,28.68
buf_a.read_ptr\[0\],28.67
_05724_,28.66
_02556_,28.6
net669,28.6
_04607_,28.58
result22[3],28.5
_03150_,28.48
_03310_,28.465
_06459_,28.46
net704,28.44
_08583_,28.4
_05341_,28.38
_07345_,28.38
_03656_,28.36
_07832_,28.32
net71,28.3
_02846_,28.28
_04704_,28.24
_02218_,28.21
_05768_,28.2
_08282_,28.14
_02468_,28.1
_02823_,28.1
_07655_,28.1
_03256_,28.08
buf_b.mem\[4\]\[5\],28.06
net712,27.985
_02967_,27.98
_04869_,27.98
_06718_,27.98
_08026_,27.98
_08668_,27.94
_04968_,27.9
clknet_leaf_120_clk,27.88
_02638_,27.82
_06858_,27.82
net684,27.82
_05081_,27.8
_04550_,27.74
_06827_,27.74
_03065_,27.72
_01799_,27.68
_06180_,27.68
_08332_,27.68
_02241_,27.58
_07121_,27.57
_02494_,27.56
_05681_,27.56
_07021_,27.56
_05031_,27.54
arr.a22\[3\],27.54
_05287_,27.46
_07192_,27.46
_08110_,27.44
_05869_,27.42
_03943_,27.38
_04743_,27.38
_04761_,27.38
_05343_,27.38
_02324_,27.36
_08431_,27.36
_06045_,27.32
net1274,27.29
_05436_,27.28
net700,27.26
net919,27.26
_07118_,27.24
_05625_,27.22
_03826_,27.2
_03144_,27.18
_03472_,27.18
_02859_,27.12
_06124_,27.095
_05634_,27.06
clknet_leaf_140_clk,27.06
_08088_,27.04
net701,27.025
_07672_,27.02
result33[4],27
_06251_,26.98
_08108_,26.98
result10[11],26.97
buf_b.row1\[1\],26.96
_03324_,26.94
_05775_,26.92
_03445_,26.9
_04808_,26.9
_06449_,26.84
clknet_leaf_71_clk,26.82
_08599_,26.76
_06846_,26.72
_04880_,26.64
_03707_,26.61
_08169_,26.6
clknet_leaf_21_clk,26.6
_06480_,26.58
_02264_,26.52
_06054_,26.52
_07637_,26.52
_03743_,26.505
_08689_,26.5
_02905_,26.44
arr.b21\[4\],26.44
_05042_,26.4
_04538_,26.385
_08191_,26.34
_07710_,26.32
_02913_,26.315
_05890_,26.3
_06757_,26.3
_03267_,26.28
_04605_,26.28
_02735_,26.26
_08411_,26.26
_08585_,26.22
net824,26.2
_02652_,26.16
clknet_leaf_106_clk,26.14
_06012_,26.13
_01809_,26.1
_06973_,26.1
_07276_,26.1
_02952_,26.06
_08321_,26.06
_03566_,26.04
_08626_,26.03
_02761_,26.02
_07790_,26.02
_08632_,26
_08549_,25.98
net1281,25.96
_04804_,25.94
_06621_,25.94
_04455_,25.92
_06523_,25.92
_06046_,25.9
_05770_,25.82
_03178_,25.78
_04304_,25.76
_07435_,25.76
clknet_leaf_85_clk,25.76
_03148_,25.74
_07994_,25.74
_02600_,25.72
_04572_,25.72
_02906_,25.7
_04079_,25.7
_05893_,25.7
_03004_,25.68
_03321_,25.68
_05525_,25.68
_07016_,25.66
arr.b20\[4\],25.66
_00021_,25.64
net780,25.64
_08610_,25.62
_08109_,25.6
result31[21],25.6
_05128_,25.54
_07017_,25.54
_08212_,25.52
clknet_leaf_16_clk,25.52
_05723_,25.5
_05762_,25.5
_07801_,25.5
_04259_,25.38
_07815_,25.38
_03864_,25.36
_04339_,25.36
_04456_,25.34
_00052_,25.32
_07711_,25.32
_06724_,25.315
_02949_,25.3
_00051_,25.28
_07261_,25.28
_05875_,25.26
_06381_,25.26
_07209_,25.26
_05358_,25.24
_06817_,25.24
_07321_,25.24
_03608_,25.22
_07039_,25.22
net692,25.205
_02964_,25.2
_03306_,25.2
_05266_,25.2
_04069_,25.18
_03071_,25.15
buf_a.mem\[1\]\[3\],25.14
_03667_,25.12
net799,25.06
_06484_,25.025
_05256_,25.02
_06100_,25.02
_05954_,25
_08069_,25
_04102_,24.98
_07268_,24.98
_02354_,24.96
_08068_,24.96
net1072,24.94
_04156_,24.92
_06539_,24.92
_04422_,24.9
_07412_,24.9
_03346_,24.88
_03345_,24.86
_05797_,24.84
_06421_,24.84
_04549_,24.8
_05551_,24.8
_06351_,24.8
_08159_,24.8
_07403_,24.78
_02456_,24.76
_03951_,24.76
_06329_,24.76
_08614_,24.72
_02679_,24.7
_03115_,24.7
_04413_,24.7
_05912_,24.68
_07301_,24.68
_02948_,24.66
_08107_,24.66
_03705_,24.64
_05018_,24.62
_06678_,24.58
_07075_,24.58
_02458_,24.56
_03266_,24.56
_02904_,24.54
_02829_,24.53
_06080_,24.5
_03969_,24.48
_03861_,24.44
_07722_,24.44
_06749_,24.42
_07154_,24.42
_06018_,24.4
_06326_,24.4
_02333_,24.36
_04714_,24.34
_05371_,24.34
_05822_,24.34
_06285_,24.31
_03086_,24.3
_05796_,24.3
_04470_,24.28
_07565_,24.28
_02318_,24.26
_04396_,24.26
_07786_,24.26
_08661_,24.26
_04513_,24.235
_04553_,24.22
_06881_,24.22
_07895_,24.22
_04998_,24.2
_05576_,24.2
_06564_,24.2
_03243_,24.18
_07734_,24.18
_04579_,24.16
_03901_,24.14
_07608_,24.14
_02289_,24.12
_05427_,24.12
net741,24.12
_07911_,24.08
_03512_,24.06
_05671_,24.06
buf_a.read_ptr\[1\],24.06
_05999_,24.03
_06335_,24.02
_02911_,24
_03401_,24
_03541_,23.98
buf_b.mem\[9\]\[5\],23.98
_03281_,23.94
_04573_,23.92
_08413_,23.92
_08445_,23.9
_03190_,23.88
_05092_,23.88
_07874_,23.88
_08000_,23.88
_03049_,23.86
_07354_,23.86
_04520_,23.84
_04024_,23.82
count\[1\],23.82
_03416_,23.8
_04672_,23.8
_02305_,23.78
_03308_,23.78
_06115_,23.775
_07358_,23.76
buf_b.read_ptr\[0\],23.735
_02254_,23.7
_05943_,23.7
net816,23.66
_04831_,23.64
_04892_,23.64
_06165_,23.64
_08157_,23.64
buf_b.mem\[3\]\[0\],23.62
net746,23.62
_04141_,23.6
_05448_,23.6
net734,23.6
_05487_,23.54
_07022_,23.54
_03798_,23.52
_03643_,23.48
_03718_,23.48
_05346_,23.46
_06680_,23.46
_03813_,23.45
_03761_,23.44
_03794_,23.44
_02651_,23.42
_02927_,23.42
_03644_,23.42
_06948_,23.4
_06538_,23.395
_08435_,23.36
_07612_,23.34
_05305_,23.3
_06103_,23.3
_04317_,23.28
_07794_,23.28
_08697_,23.28
_03091_,23.26
_05485_,23.22
_05593_,23.2
_07494_,23.2
net774,23.2
_05583_,23.18
_04961_,23.165
_02909_,23.16
_02466_,23.14
_04966_,23.13
_00062_,23.12
_04059_,23.12
_06418_,23.12
_06089_,23.115
net673,23.08
_06482_,23.04
_07521_,23.04
clknet_leaf_70_clk,23.04
_06086_,23.02
_03038_,22.96
_03186_,22.96
_04840_,22.96
_05138_,22.96
_06085_,22.96
_04571_,22.94
_07329_,22.92
_06199_,22.9
_06451_,22.9
_03365_,22.86
buf_b.row1\[0\],22.86
net820,22.86
_02505_,22.8
_03342_,22.8
_07224_,22.8
result03[0],22.8
result21[23],22.79
_04650_,22.77
net235,22.76
net569,22.76
_07032_,22.755
_06920_,22.74
result01[26],22.73
_02191_,22.72
net1206,22.72
net685,22.7
_05958_,22.695
_06592_,22.69
_04695_,22.68
_04971_,22.68
_05252_,22.68
_06172_,22.68
_08628_,22.68
net1276,22.68
_05850_,22.66
_04451_,22.64
_07751_,22.64
result11[8],22.64
_04865_,22.62
_06347_,22.62
_06569_,22.62
_02482_,22.6
_06125_,22.6
_06576_,22.6
_08500_,22.6
_04022_,22.58
_06892_,22.58
_06867_,22.54
_02515_,22.5
_06283_,22.5
a2_d1\[1\],22.5
_05702_,22.48
_03360_,22.46
_02259_,22.44
_03663_,22.44
_05509_,22.44
_06019_,22.44
_06398_,22.44
_05924_,22.42
_06163_,22.42
_06385_,22.42
_07730_,22.415
_03742_,22.4
_05639_,22.4
_04497_,22.38
_05098_,22.38
_05365_,22.38
_05719_,22.38
_04736_,22.37
net593,22.345
_07415_,22.34
_08150_,22.34
_04431_,22.32
_05615_,22.32
_04495_,22.28
_03107_,22.26
_04296_,22.26
net681,22.24
_08714_,22.22
net975,22.22
net1120,22.22
_05171_,22.2
net1184,22.2
_03070_,22.18
_08631_,22.18
buf_b.mem\[14\]\[2\],22.18
_00031_,22.16
_07239_,22.16
_05410_,22.155
_07679_,22.14
_08198_,22.14
_08425_,22.12
_08474_,22.11
_03434_,22.1
_06210_,22.1
_06825_,22.1
_07651_,22.1
_05291_,22.085
_04730_,22.08
_07671_,22.08
buf_a.mem\[9\]\[5\],22.08
_08239_,22.06
_03841_,22.04
_05345_,22.04
_05922_,22.04
_05630_,22.02
_05845_,21.92
_07213_,21.92
_03037_,21.9
_06874_,21.9
_04529_,21.88
_07613_,21.88
buf_a.mem\[14\]\[1\],21.88
_07432_,21.86
_07682_,21.86
net1183,21.86
_06968_,21.84
net1062,21.84
_02824_,21.82
_03273_,21.82
_03349_,21.78
_03746_,21.78
_03909_,21.78
_05780_,21.78
_04530_,21.76
_07170_,21.76
buf_a.write_ptr\[3\],21.76
buf_a.mem\[8\]\[6\],21.74
_03491_,21.72
_02851_,21.7
_04342_,21.7
_05978_,21.7
_06223_,21.7
_07369_,21.7
_07856_,21.7
_03467_,21.68
_04236_,21.68
_04566_,21.68
_07217_,21.66
_03024_,21.64
_07991_,21.64
_02654_,21.62
_05373_,21.62
_06899_,21.62
_07805_,21.62
net733,21.62
_03242_,21.6
_05903_,21.58
_04040_,21.575
_05651_,21.56
_02238_,21.54
_06407_,21.53
_02833_,21.5
_05029_,21.5
_06027_,21.5
_08598_,21.48
_05527_,21.46
_05882_,21.46
_06812_,21.46
_04427_,21.44
_07207_,21.44
result00[6],21.38
state\[0\],21.37
buf_a.mem\[9\]\[6\],21.36
_04908_,21.35
_07566_,21.34
buf_a.mem\[13\]\[1\],21.34
_02356_,21.32
_02413_,21.32
_04534_,21.32
_05437_,21.32
_08554_,21.315
_04443_,21.3
_08234_,21.3
_08388_,21.3
_02774_,21.26
_06033_,21.26
net807,21.26
net1265,21.24
_02878_,21.22
_03322_,21.22
_04153_,21.22
_05002_,21.22
_05522_,21.22
b3_d1\[1\],21.22
_04479_,21.18
_05428_,21.18
_04182_,21.17
_04432_,21.16
_07018_,21.16
_02732_,21.14
_02550_,21.12
_02567_,21.12
_07831_,21.11
_06139_,21.095
_07571_,21.095
_01951_,21.08
_03703_,21.08
_06051_,21.08
net940,21.08
_02754_,21.06
_03934_,21.06
_08609_,21.06
_08739_,21.06
_00013_,21.04
_02963_,21.04
net1021,21.04
_03461_,21.02
_05932_,21.02
_06481_,21.02
net1003,21.02
_02547_,21
_04634_,21
_05990_,21
_06943_,21
_05688_,20.995
_03602_,20.98
_08655_,20.96
_05969_,20.945
_04897_,20.94
_05467_,20.92
_03338_,20.88
_04100_,20.88
_05367_,20.88
_06419_,20.88
_07035_,20.88
_04333_,20.86
_07225_,20.86
_07511_,20.86
_07838_,20.86
_03483_,20.855
_05825_,20.82
buf_b.row1\[2\],20.78
_04499_,20.775
_04346_,20.76
_02626_,20.74
_04448_,20.74
_04492_,20.74
_07750_,20.74
_07965_,20.74
_08054_,20.74
_03525_,20.72
_04275_,20.72
result31[3],20.71
_03678_,20.7
_06081_,20.7
_07232_,20.67
_04402_,20.66
_05608_,20.66
_06578_,20.66
_07920_,20.66
b3_d1\[3\],20.66
clknet_leaf_46_clk,20.66
_03635_,20.65
_02608_,20.64
_08116_,20.64
_08595_,20.64
_05056_,20.62
_08466_,20.615
_02701_,20.6
_08103_,20.6
_04400_,20.59
_02615_,20.58
_04033_,20.56
_05194_,20.56
_05134_,20.54
_03300_,20.52
_06352_,20.52
_07158_,20.51
_04041_,20.5
_07849_,20.5
_02642_,20.48
_02524_,20.475
_02674_,20.46
_03233_,20.46
_08211_,20.46
_08641_,20.455
_06291_,20.44
_03384_,20.42
_05439_,20.42
buf_b.mem\[9\]\[6\],20.42
_02594_,20.4
_05478_,20.4
_07816_,20.38
_03100_,20.34
_02757_,20.32
_03784_,20.32
_05779_,20.32
_06144_,20.32
_06847_,20.32
_07248_,20.32
_02391_,20.3
_02400_,20.3
_03627_,20.28
net1191,20.28
_04894_,20.22
_00019_,20.2
_03634_,20.2
_03778_,20.2
_02907_,20.18
_06688_,20.18
_03075_,20.16
_03645_,20.16
_06442_,20.16
_07799_,20.16
_07002_,20.14
_07038_,20.14
_07760_,20.14
_05682_,20.12
_07229_,20.12
_07280_,20.12
_07116_,20.1
_03307_,20.08
_04227_,20.08
_05468_,20.08
_05482_,20.08
_08261_,20.07
result21[22],20.07
_06333_,20.06
net936,20.06
_00057_,20.04
_02529_,20.04
_06877_,20.04
_07594_,20.04
_07842_,20.02
_05015_,20
_06312_,20
_02988_,19.98
_03222_,19.98
_05620_,19.98
_07062_,19.96
_07936_,19.96
_02856_,19.94
_04810_,19.94
_05580_,19.94
_07054_,19.94
_02665_,19.92
_07296_,19.92
_07219_,19.9
_03418_,19.88
_03758_,19.88
_07278_,19.88
_02229_,19.86
_02616_,19.86
_04817_,19.86
_05594_,19.86
_06719_,19.86
_07997_,19.86
_04163_,19.84
_06931_,19.84
net1094,19.84
_07538_,19.835
_05159_,19.82
_06707_,19.82
_06979_,19.82
_03575_,19.815
_04785_,19.8
_07072_,19.8
_07388_,19.8
_06169_,19.78
_06682_,19.78
_07235_,19.78
_08665_,19.78
_02426_,19.76
_03545_,19.76
_06842_,19.76
_07818_,19.76
_02480_,19.74
_03381_,19.74
_05150_,19.74
_04958_,19.73
_06568_,19.7
_06702_,19.7
_07169_,19.7
_07231_,19.7
_07767_,19.7
_02641_,19.68
_04832_,19.68
_06660_,19.68
_07935_,19.68
_02385_,19.66
_06143_,19.66
_02358_,19.64
_03539_,19.64
_04379_,19.62
_04624_,19.62
_07685_,19.62
_07617_,19.615
_07374_,19.6
_08102_,19.58
_03894_,19.57
_03047_,19.56
_06256_,19.56
_03030_,19.54
_05244_,19.54
_05611_,19.54
_06531_,19.54
_04606_,19.52
_07399_,19.52
_03254_,19.5
_06715_,19.5
_07924_,19.5
_08330_,19.5
net1194,19.5
_03550_,19.48
_04742_,19.48
_08565_,19.48
net708,19.48
_07771_,19.47
_02328_,19.46
_04253_,19.46
_08366_,19.46
net720,19.42
_05477_,19.4
_07953_,19.4
buf_a.row2\[0\],19.4
_04861_,19.38
_04985_,19.38
_04445_,19.36
_06140_,19.36
_04293_,19.34
_04372_,19.32
_04786_,19.32
_04818_,19.32
_05742_,19.32
net1154,19.32
_07680_,19.31
_08525_,19.3
_02375_,19.28
_04450_,19.27
_08076_,19.26
_05214_,19.24
_05408_,19.24
_07503_,19.24
_08718_,19.24
_02216_,19.22
_05289_,19.22
_05302_,19.22
_05690_,19.2
_04029_,19.18
_06413_,19.18
_08022_,19.18
_08250_,19.18
_02742_,19.16
_02993_,19.16
_03157_,19.16
_05230_,19.14
_05678_,19.12
_06961_,19.1
_06327_,19.08
_07719_,19.08
net738,19.08
_02331_,19.06
_07927_,19.06
_04584_,19.055
_06594_,19.03
_06477_,19.02
net726,19.02
result33[7],19.01
_01907_,19
_06060_,18.99
_03377_,18.96
_04438_,18.96
net729,18.96
_07179_,18.94
_03064_,18.93
_03074_,18.93
_03719_,18.92
_07507_,18.92
_07618_,18.92
_06776_,18.9
_04845_,18.88
_05686_,18.88
_03032_,18.86
_03728_,18.86
_05353_,18.86
_02580_,18.84
_07575_,18.84
_04114_,18.83
_04464_,18.82
buf_a.mem\[15\]\[4\],18.82
_05545_,18.8
_07050_,18.8
_08222_,18.8
_02517_,18.795
_03868_,18.79
_05648_,18.77
_01886_,18.74
_04843_,18.74
_06198_,18.74
_07459_,18.74
_02350_,18.72
_06128_,18.7
_06440_,18.7
_07234_,18.7
_07549_,18.7
_02740_,18.68
_03888_,18.66
_06613_,18.66
_08472_,18.65
_03128_,18.64
_04739_,18.64
_08073_,18.64
_08365_,18.64
_02309_,18.62
_07146_,18.62
_06073_,18.61
_02449_,18.6
_05909_,18.6
_07096_,18.6
_04208_,18.58
net1145,18.58
_07462_,18.56
_03664_,18.54
_07474_,18.54
buf_b.mem\[9\]\[4\],18.54
_06801_,18.535
_05426_,18.52
_06159_,18.52
_05916_,18.5
_02441_,18.48
_04485_,18.47
_04437_,18.46
_04667_,18.46
_07111_,18.46
_08139_,18.46
_08185_,18.46
_03464_,18.44
_07446_,18.44
_08037_,18.44
buf_b.mem\[15\]\[3\],18.44
_08048_,18.42
_04986_,18.41
_04375_,18.4
_05679_,18.4
_07068_,18.4
net1124,18.4
net883,18.385
_00029_,18.38
_02334_,18.38
_08095_,18.37
_07058_,18.36
_04591_,18.32
_06496_,18.32
_07230_,18.32
_07774_,18.32
_04690_,18.3
_05619_,18.3
_06214_,18.28
_04191_,18.26
_05851_,18.26
_08117_,18.26
_02980_,18.24
_03828_,18.24
_05292_,18.24
_08561_,18.24
result03[6],18.24
net1058,18.24
_03090_,18.22
_08465_,18.22
_03790_,18.2
_03805_,18.2
buf_a.mem\[1\]\[5\],18.2
net1186,18.2
net789,18.19
_05506_,18.18
_02503_,18.17
_04595_,18.16
_08317_,18.16
net809,18.16
_03262_,18.14
_08476_,18.14
b3_d1\[2\],18.14
_03955_,18.12
_04527_,18.1
_06084_,18.1
_07461_,18.1
_07841_,18.1
_08143_,18.1
_04859_,18.08
_06076_,18.08
_04449_,18.06
_05743_,18.06
_06423_,18.06
_08238_,18.05
_07686_,18.04
_05531_,18.02
_06838_,18.02
_07317_,18.02
net679,18.02
_05579_,18
_06596_,18
_07166_,18
_08505_,18
result11[14],18
